state,gender,education,customer_lifetime_value,income,monthly_premium_auto,policy_type,vehicle_class,total_claim_amount,open_compl
Washington,Unknown,Master,7936,0,1000,Personal Auto,Four-Door Car,2,0
Arizona,F,Bachelor,6979,0,94,Personal Auto,Four-Door Car,1131,0
Nevada,F,Bachelor,12887,48767,108,Personal Auto,Two-Door Car,566,0
California,M,Bachelor,7645,0,106,Corporate Auto,SUV,529,0
Washington,M,High School or Below,5363,36357,68,Personal Auto,Four-Door Car,17,0
Oregon,F,Bachelor,8256,62902,69,Personal Auto,Two-Door Car,159,0
Oregon,F,College,5380,55350,67,Corporate Auto,Four-Door Car,321,0
Arizona,M,Master,7216,0,101,Corporate Auto,Four-Door Car,363,0
Oregon,M,Bachelor,24127,14072,71,Corporate Auto,Four-Door Car,511,0
Oregon,F,College,7388,28812,93,Special Auto,Four-Door Car,425,0
California,M,College,4738,0,67,Personal Auto,Four-Door Car,482,0
California,Unknown,College,8197,0,110,Personal Auto,SUV,528,0
California,Unknown,Master,8798,77026,110,Corporate Auto,Four-Door Car,472,2
Arizona,Unknown,High School or Below,8819,99845,110,Corporate Auto,SUV,528,1
California,Unknown,College,5384,83689,70,Corporate Auto,Four-Door Car,307,2
Oregon,Unknown,Bachelor,7463,24599,64,Corporate Auto,Four-Door Car,42,1
Nevada,Unknown,High School or Below,2566,25049,67,Personal Auto,Two-Door Car,454,0
Oregon,Unknown,College,3945,28855,101,Personal Auto,SUV,647,0
Oregon,Unknown,College,5710,51148,72,Personal Auto,Four-Door Car,308,0
California,Unknown,High School or Below,8162,66140,101,Corporate Auto,Four-Door Car,484,0
Oregon,Unknown,High School or Below,2872,57749,74,Personal Auto,Two-Door Car,355,0
Washington,M,Bachelor,6177,61040,79,Personal Auto,Two-Door Car,20,1
Arizona,Unknown,Bachelor,24127,14072,71,Personal Auto,Four-Door Car,511,0
Nevada,Unknown,Bachelor,2450,0,73,Corporate Auto,Four-Door Car,554,3
California,Unknown,Bachelor,2392,17870,61,Corporate Auto,Four-Door Car,439,0
Oregon,Unknown,College,5802,97541,72,Personal Auto,Four-Door Car,389,0
California,Unknown,Bachelor,3946,0,111,Personal Auto,Four-Door Car,799,0
Washington,M,College,9162,29723,80,Personal Auto,Four-Door Car,20,0
Oregon,Unknown,College,12902,86584,111,Personal Auto,Four-Door Car,532,2
Oregon,Unknown,Master,3235,75690,80,Personal Auto,Four-Door Car,384,1
Arizona,Unknown,College,2454,23158,63,Personal Auto,Four-Door Car,322,1
Nevada,Unknown,High School or Below,18975,65999,237,Corporate Auto,Luxury,615,0
California,Unknown,Bachelor,4715,0,65,Personal Auto,Four-Door Car,308,0
Washington,F,College,4737,0,130,Personal Auto,SUV,23,0
Oregon,Unknown,Bachelor,4932,37260,62,Corporate Auto,Four-Door Car,15,0
Arizona,Unknown,High School or Below,5744,68987,71,Personal Auto,Four-Door Car,204,0
California,Unknown,Bachelor,13891,42305,117,Personal Auto,Four-Door Car,561,0
Oregon,Unknown,Master,7380,65706,91,Personal Auto,Four-Door Car,436,0
Oregon,Unknown,Bachelor,3090,0,90,Personal Auto,Two-Door Car,648,0
Arizona,Unknown,High School or Below,2521,53243,66,Personal Auto,Four-Door Car,157,2
Nevada,Unknown,High School or Below,2652,0,70,Corporate Auto,Two-Door Car,484,1
Oregon,Unknown,College,2771,50071,71,Corporate Auto,Two-Door Car,18,0
California,Unknown,Bachelor,3939,60021,99,Personal Auto,Four-Door Car,882,0
Arizona,Unknown,High School or Below,12231,43244,103,Personal Auto,Luxury,494,0
Washington,M,Doctor,4951,46896,35354,Personal Auto,Four-Door Car,31,1
Oregon,Unknown,Doctor,12819,10105,172,Personal Auto,SUV,0,3
Arizona,Unknown,Bachelor,4468,0,73,Personal Auto,Four-Door Car,579,3
Oregon,Unknown,High School or Below,5514,23218,71,Personal Auto,Two-Door Car,447,0
California,Unknown,Bachelor,3343,0,92,Corporate Auto,Four-Door Car,529,0
Arizona,Unknown,High School or Below,2294,0,62,Personal Auto,Four-Door Car,313,0
Oregon,Unknown,College,36707,24804,104,Personal Auto,SUV,593,0
California,Unknown,Bachelor,33473,33190,106,Corporate Auto,SUV,508,0
Nevada,Unknown,High School or Below,7983,36014,69,Special Auto,Four-Door Car,173,3
Washington,F,Master,4879,67163,61,Personal Auto,Two-Door Car,33,2
California,Unknown,Bachelor,4293,16701,113,Personal Auto,Four-Door Car,831,0
Arizona,Unknown,College,7164,46623,91,Corporate Auto,Four-Door Car,436,0
California,Unknown,College,7619,64749,64,Special Auto,Four-Door Car,302,0
